room_id,survey_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude,location,year_modified,month_modified
5803849,1480,24225052,shared room,lisbon,areeiro,1,0.0,4,1.0,23.0,shared room per person 4 beds,2017-07-28 01:19:41.557318,38.738725,-9.129227,0101000020e61000003885950a2a4222c06ade718a8e5e4340,2017,7
13128728,1480,49273694,shared room,lisbon,alvalade,0,0.0,1,1.0,12.0,lugar de garagem para arrendar,2017-07-28 01:19:41.554506,38.75477,-9.167945,0101000020e6100000ae0d15e3fc5522c03f00a94d9c604340,2017,7
16629098,1480,109582028,shared room,lisbon,santa maria maior,0,0.0,4,1.0,23.0,diamond guesthouse 4 bed female only dormitory,2017-07-28 01:19:41.551777,38.719658,-9.135182,0101000020e610000008043a93364522c00327dbc01d5c4340,2017,7
14825049,1480,58856345,shared room,lisbon,arroios,0,0.0,1,1.0,30.0,quarto do castelo s o jorge,2017-07-28 01:19:41.549023,38.732779,-9.134539,0101000020e6100000b612ba4be24422c00919c8b3cb5d4340,2017,7
16875711,1480,112226564,shared room,lisbon,olivais,15,4.0,1,1.0,15.0,1 comfortable bed with amazing breakfast,2017-07-28 01:19:41.546670,38.760964,-9.103965,0101000020e610000077db85e63a3522c078b7b24467614340,2017,7
290913,1480,1489229,shared room,lisbon,campolide,11,4.5,3,1.0,12.0,shared dorm shared appartment,2017-07-28 01:19:41.544544,38.729003,-9.166141,0101000020e6100000aa0ce36e105522c0cbd765f84f5d4340,2017,7
16479504,1480,105922671,shared room,lisbon,misericórdia,3,5.0,8,1.0,27.0,8 bed dorm in lisbon s most social hostel,2017-07-28 01:19:41.542052,38.711117,-9.149266,0101000020e61000003acfd8976c4c22c09850c1e1055b4340,2017,7
11839136,1480,53320272,shared room,lisbon,avenidas novas,1,0.0,6,1.0,18.0,swallow hostel 15 sinta se em casa,2017-07-28 01:19:41.538601,38.733663,-9.149497,0101000020e610000042b3ebde8a4c22c083a44fabe85d4340,2017,7
11692742,1480,28812904,shared room,lisbon,santa maria maior,2,0.0,1,1.0,12.0,lisbon cozy flat bunk beds 5,2017-07-28 01:19:41.535676,38.711958,-9.13677,0101000020e6100000d925aab7064622c013109370215b4340,2017,7
5392355,1480,5799522,shared room,lisbon,santo antónio,0,0.0,6,1.0,24.0,6 bed female only room,2017-07-28 01:19:41.532750,38.722539,-9.144064,0101000020e6100000d80fb1c1c24922c0d28a6f287c5c4340,2017,7
12262991,1480,6981742,shared room,lisbon,alvalade,5,4.5,2,1.0,38.0,miniroom1 in dorm nesha guesthouse lisbon,2017-07-28 01:19:41.530540,38.745851,-9.135649,0101000020e6100000607825c9734522c02e58aa0b785f4340,2017,7
16346614,1480,99226664,shared room,lisbon,marvila,0,0.0,1,1.0,18.0,1 bed in 2 beds room lisbon red line metro,2017-07-28 01:19:41.525391,38.755217,-9.113912,0101000020e6100000703e75ac523a22c00e315ef3aa604340,2017,7
13570032,1480,78249982,shared room,lisbon,misericórdia,8,5.0,10,1.0,39.0,sunset destination hostel dormitories,2017-07-28 01:19:41.523178,38.70552,-9.14225,0101000020e610000046b6f3fdd44822c04356b77a4e5a4340,2017,7
11814772,1480,53320272,shared room,lisbon,avenidas novas,0,0.0,4,1.0,22.0,swallow hostel 2 sinta se em casa,2017-07-28 01:19:41.520754,38.73324,-9.148487,0101000020e610000026c3f17c064c22c03d0feeceda5d4340,2017,7
11838855,1480,53320272,shared room,lisbon,avenidas novas,0,0.0,6,1.0,18.0,swallow hostel 14 sinta se em casa,2017-07-28 01:19:41.510482,38.734156,-9.150111,0101000020e61000002b8a5759db4c22c0c214e5d2f85d4340,2017,7
16479635,1480,105922671,shared room,lisbon,misericórdia,3,5.0,10,1.0,24.0,10 bed dorm in lisbon s most social hostel,2017-07-28 01:19:41.507321,38.709847,-9.150418,0101000020e61000009f758d96034d22c0f5143944dc5a4340,2017,7
14849748,1480,88769130,shared room,lisbon,estrela,5,4.5,1,1.0,18.0,beautiful lisbon couch,2017-07-28 01:19:41.504294,38.71619,-9.161861,0101000020e6100000e7feea71df5222c072dc291dac5b4340,2017,7
2376711,1480,11481927,shared room,lisbon,são vicente,7,4.0,4,1.0,32.0,alfama patio hostel 4 bed dorm,2017-07-28 01:19:40.216308,38.713841,-9.130053,0101000020e61000004e7e8b4e964222c0a0c552245f5b4340,2017,7
16389020,1480,105922671,shared room,lisbon,misericórdia,0,0.0,6,1.0,29.0,6 bed dorm in lisbon s most social hostel,2017-07-28 01:19:40.213098,38.708636,-9.149537,0101000020e61000007b15191d904c22c056629e95b45a4340,2017,7
5803348,1480,29676067,shared room,lisbon,misericórdia,20,5.0,9,1.0,29.0,bunk with a view at lookout lisbon hostel,2017-07-28 01:19:40.210816,38.713961,-9.144652,0101000020e61000001c9ab2d30f4a22c04acff412635b4340,2017,7
290912,1480,1489229,shared room,lisbon,campolide,29,4.5,1,1.0,12.0,shared dorm in shared appartment,2017-07-28 01:19:40.208104,38.727478,-9.166483,0101000020e610000010ae80423d5522c09d47c5ff1d5d4340,2017,7
